#            DMRG       DMRG (RDM)    DMRG (RDM)
#Npar    Energy error  Energy error  Cumulant error
32568      0.000000      0.000000      0.000000
32318      0.000000      0.000001      0.000000
32198      0.000000      0.000001      0.000000
32106      0.000000      0.000001      0.000000
31926      0.000000      0.000001      0.000000
31726      0.000000      0.000001      0.000000
31696      0.000000      0.000001      0.000000
31396      0.000000      0.000001      0.000000
31216      0.000000      0.000001      0.000000
31106      0.000000      0.000001      0.000000
30876      0.000000      0.000001      0.000000
30696      0.000000      0.000001      0.000000
30576      0.000000      0.000001      0.000000
30336      0.000000      0.000002      0.000000
30176      0.000000      0.000002      0.000000
30006      0.000000      0.000002      0.001000
29816      0.000000      0.000002      0.001000
29696      0.000000      0.000002      0.001000
29446      0.000000      0.000002      0.001000
29276      0.000000      0.000003      0.001000
29036      0.000000      0.000003      0.001000
28866      0.000000      0.000003      0.001000
28738      0.000000      0.000004      0.001000
28498      0.000000      0.000004      0.001000
28350      0.000000      0.000004      0.001000
28160      0.000000      0.000004      0.001000
27970      0.000000      0.000005      0.001000
27730      0.000000      0.000005      0.001414
27570      0.000000      0.000006      0.001414
27440      0.000000      0.000006      0.001732
27190      0.000000      0.000006      0.001732
27010      0.000000      0.000007      0.001732
26900      0.000000      0.000008      0.001732
26670      0.000000      0.000009      0.002236
26612      0.000000      0.000010      0.002449
26412      0.000000      0.000010      0.002449
26302      0.000000      0.000011      0.002646
26072      0.000000      0.000012      0.002646
25962      0.000000      0.000013      0.002828
25732      0.000000      0.000014      0.003000
25562      0.000000      0.000015      0.003317
25452      0.000000      0.000017      0.003317
25272      0.000000      0.000018      0.003606
25162      0.000000      0.000019      0.004243
24972      0.000000      0.000020      0.004359
24852      0.000000      0.000021      0.004359
24612      0.000000      0.000023      0.004796
24422      0.000000      0.000025      0.005099
24242      0.000000      0.000026      0.005000
24142      0.000000      0.000029      0.006325
23902      0.000000      0.000031      0.006633
23812      0.000000      0.000034      0.007746
23632      0.000000      0.000037      0.007746
23522      0.000000      0.000039      0.008062
23402      0.000000      0.000042      0.008246
23242      0.000000      0.000045      0.009487
23062      0.000000      0.000049      0.011136
22862      0.000000      0.000051      0.011180
22714      0.000000      0.000054      0.012000
22484      0.000000      0.000057      0.012649
22364      0.000000      0.000061      0.012884
22234      0.000000      0.000064      0.013711
22004      0.000000      0.000068      0.014457
21884      0.000000      0.000073      0.015652
21686      0.000000      0.000078      0.016155
21516      0.000000      0.000084      0.016401
21378      0.000000      0.000092      0.017146
21128      0.000000      0.000096      0.017436
21088      0.000000      0.000106      0.018083
20918      0.000000      0.000112      0.018303
20798      0.000000      0.000119      0.018520
20628      0.000000      0.000129      0.020809
